,Unnamed: 0,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Distance,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Distance (km),Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
619,,ELEC,Redhill Rest Area,Highway 1,,Ashcroft,BC,V0K 1A0,,888-356-8911,E,,Public,24 hours daily,,,,,,1.0,1.0,,FLO,https://flo.ca/,GPS,50.639713,-121.343758,2024-12-07,315977,0.00029,2024-12-07 11:21:44 UTC,,,,2023-10-26,,,,,CHADEMO J1772 J1772COMBO,CA,0.00047,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
799,,ELEC,P2P - Calgary Cross Iron Mills,261055 Cross Iron Blvd,,Rocky View County,AB,T4A 0G3,,888-356-8911,E,,Public,24 hours daily,,,,,,1.0,1.0,,FLO,https://flo.ca/,GPS,51.203525,-113.990167,2024-12-07,353104,0.51376,2024-12-07 11:28:27 UTC,,,,2024-08-20,,,,,CHADEMO J1772 J1772COMBO,CA,0.82682,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
20,136.0,ELEC,Wesgroup Properties - 274 Nelson's Court (BD7) - DC,274 Nelson's Court,,New Westminster,BC,V3L 0E3,,888-356-8911,E,,Public,24 hours daily,,,,,,,1.0,,FLO,https://flo.ca/,GPS,49.224915,-122.890579,2024-12-07,360860,0.83487,2024-12-07 11:29:06 UTC,,,,2024-10-26,,,,,CHADEMO J1772COMBO,CA,1.34359,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
21,161.0,ELEC,BARNES HD CA DCFAST LANGLEY,8859 201 St,,Langley City,BC,V2Y 0C8,,888-758-4389,E,,Public,Mon 12:00am - 5:00am; Tue 12:00am - 5:00am; Wed 12:00am - 5:00am; Thu 12:00am - 5:00am; Fri 12:00am - 5:00am; Sat 12:00am - 5:00am; Sun 12:00am - 5:00am,,,,,,,1.0,,ChargePoint Network,http://www.chargepoint.com/,GPS,49.162635,-122.667967,2024-12-07,231832,0.0781,2024-12-07 08:19:19 UTC,,,,2022-10-05,,,,,J1772COMBO,CA,0.12569,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
346,,ELEC,Edwards Garage,4403 42 Ave,,Rocky Mountain House,AB,T4T 1A6,,888-356-8911,E,,Public,24 hours daily,,,,,,,1.0,,FLO,https://flo.ca/,GPS,52.36264,-114.90891,2024-12-07,256493,0.09713,2024-12-07 11:17:58 UTC,,,,2023-03-17,,,,,CHADEMO J1772COMBO,CA,0.15632,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
787,,ELEC,EQUS (Innisfail),5120 40 Avenue,,Innisfail,AB,T4G 1Z1,,888-356-8911,E,,Public,24 hours daily,,,,,,,1.0,,FLO,https://flo.ca/,GPS,52.030276,-113.928805,2024-12-07,164513,0.09763,2024-12-07 11:21:17 UTC,,,,2020-07-24,,,,,CHADEMO J1772COMBO,CA,0.15712,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
789,,ELEC,"QEII Fuel Bar - 3 32580 Range Road 11, Olds",#3 32580 Range Road 11,,Olds,AB,T4H1P5,,888-356-8911,E,,Public,24 hours daily,,,,,,,1.0,,FLO,https://flo.ca/,GPS,51.79439,-114.03754,2024-12-07,357951,0.52586,2024-12-07 11:29:00 UTC,,,,2024-10-12,,,,,CHADEMO J1772COMBO,CA,0.84629,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
795,,ELEC,Davis Chevrolet GMC Buick Ltd.,149 East Lake Cres NE,,Airdrie,AB,T4A 2H7,,888-356-8911,E,,Public,24 hours daily,,,,,,,1.0,,FLO,https://flo.ca/,GPS,51.287771,-113.999187,2024-12-07,256494,0.07135,2024-12-07 11:16:00 UTC,,,,2023-03-17,,,,,CHADEMO J1772COMBO,CA,0.11483,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
1215,,ELEC,Banff Visitor Centre - Tesla Destination,224 Banff Avenue,,Banff,AB,T1L 1B3,,877-798-3752,E,,Public,,,,,,,8.0,,,Tesla Destination,https://www.tesla.com/destination-charging,GPS,51.177685,-115.57017,2024-07-01,251077,0.87169,2024-10-16 16:58:41 UTC,P,,,2021-01-16,,,,,J1772 TESLA,CA,1.40285,,,,Public,,public,,,,,,,,,,Free,Gratuit,,,,,,,,,,,,,,,,,,False,
23,326.0,ELEC,Auto Canada,15511 123ave,,edmonton,AB,T5V 0C3,,888-356-8911,E,,Public,24 hours daily,,,,,,4.0,,,FLO,https://flo.ca/,GPS,53.576664,-113.589538,2024-12-07,231122,0.16768,2024-12-07 11:19:57 UTC,,,,2022-10-01,,,,,J1772,CA,0.26985,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
24,333.0,ELEC,AMA Kingsway,"11220, 109 st, NW",,EDMONTON,AB,T5G 2T6,,855-900-7584,E,,Public,24 hours daily,,,,,,4.0,,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,53.561587,-113.509193,2024-12-07,322445,0.73903,2024-12-07 09:35:31 UTC,,,,2023-12-09,,,,,J1772,CA,1.18935,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
644,,ELEC,Wood Wheaton Supercentre - Outside,2879 Highway 16 West,,PRINCE GEORGE,BC,V2N 0A3,,888-356-8911,E,,Public,24 hours daily,,,,,,3.0,,,FLO,https://flo.ca/,GPS,53.88607,-122.76898,2024-12-07,257965,0.90763,2024-12-07 11:20:07 UTC,,,,2023-04-06,,,,,J1772,CA,1.46069,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
793,,ELEC,Holiday Inn Express & Suites Airdrie-Calgary North - Tesla Destination,64 E Lake Ave NE,,Aidrie,AB,T4A 2G8,,877-798-3752,E,,Public,,,,,,,3.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,51.295673,-113.997998,2024-07-01,122354,0.13201,2024-10-16 16:58:41 UTC,P,,,2017-06-29,,,,,TESLA,CA,0.21245,,,,Public,,public,,,,,,,,,,Free,Gratuit,,,,,,,,,,,,,,,,,,False,
25,186.0,ELEC,STAFF L2 WGCC PUBLIC 1,8889 Walnut Grove Dr,,Langley Township,BC,V1M 2N7,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,49.16366,-122.641413,2024-12-07,232196,0.4435,2024-12-07 08:30:09 UTC,,,,2022-10-05,,,,,J1772,CA,0.71374,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
26,302.0,ELEC,DOB FADEAR PARK,4484 Airfield Road,By washrooms at Fadear Park,Barrière,BC,V0E 1E0,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,51.178419,-120.129056,2024-12-07,260433,0.183,2024-12-07 08:56:53 UTC,,,,2023-05-06,,,,,J1772,CA,0.29451,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
343,,ELEC,The Crossing Gas Station and Store,Hwy 93 and AB-11,,Improvement Disctrict No. 9,AB,T0L 1E0,,403-761-7000,E,,Public - Call ahead,24 hours daily; Closed during winter months,,,,,,2.0,,,Non-Networked,,GPS,51.9737176177911,-116.746419282613,2024-05-13,241175,0.05513,2024-05-13 18:40:31 UTC,P,,,2022-12-27,,,,,J1772,CA,0.08872,,24 heures par jour; Fermée pendant l'hiver,,Public - Appeler à l'avance,,public,CALL,,GAS_STATION,,,,,,,Free,Gratuit,,,,,,,,,False,,,,,,,,LD,False,
347,,ELEC,Charlotte Small Elementary School,725 Condor Road,,Condor,AB,T0M 0P0,,888-356-8911,E,,Public,24 hours daily,,,,,,2.0,,,FLO,https://flo.ca/,GPS,52.329538,-114.551992,2024-12-07,260048,0.6743,2024-12-07 11:20:26 UTC,,,,2023-04-28,,,,,J1772,CA,1.08518,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
656,,ELEC,COPG EXPLORATION 1,505 Becott Pl,Exploration place North parking lot,CPG,BC,V2L,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,53.90544,-122.736305,2024-12-07,262690,0.25357,2024-12-07 08:58:18 UTC,,,,2023-06-14,,,,,J1772,CA,0.40808,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
760,,ELEC,AMA Admin,10310 G.A. MacDonald Avenue NW,,Alberta,AB,T6J 6R7,,855-900-7584,E,,Public,24 hours daily,,,,,,2.0,,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,53.477543,-113.493461,2024-12-07,322442,0.09477,2024-12-07 09:35:07 UTC,,,,2023-12-09,,,,,J1772,CA,0.15252,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
614,,ELEC,Boston Bar - Canyon Lanes Bowling,47555 Trans Canada Hwy,,Boston Bar,BC,V0K 1C0,,888-356-8911,E,,Public,24 hours daily,,,,,,1.0,,,FLO,https://flo.ca/,GPS,49.860008,-121.44014,2024-12-07,130062,0.03651,2024-12-07 11:17:39 UTC,,,,2019-07-17,,,,,J1772,CA,0.05876,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
715,,ELEC,Slim Creek Rest Area,Slim Creek Rest Area,,Dome Creek,BC,N0N 3N0,,888-356-8911,E,,Public,24 hours daily,,,,,,1.0,,,FLO,https://flo.ca/,GPS,53.726072,-121.1434,2024-12-07,163501,0.03867,2024-12-07 11:14:54 UTC,,,,2020-06-19,,,,,J1772,CA,0.06223,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
773,,ELEC,Premium Outlet Collection Edmonton International Airport,1 Outlet Collection Way Unit 1,,Edmonton International Airport,AB,T9E 1J5,,888-356-8911,E,,Public,24 hours daily,,,,,,1.0,,,FLO,https://flo.ca/,GPS,53.303274,-113.555407,2024-12-07,352173,0.23409,2024-12-07 11:28:20 UTC,,,,2024-08-07,,,,,J1772,CA,0.37673,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
1212,,ELEC,Lake Louise Village - Banff National Park - Tesla Destination,200  Village Rd,,Lake Louise,AB,T0L 1E0,,877-798-3752,E,,Public,,,,,,,1.0,,,Tesla Destination,https://www.tesla.com/destination-charging,GPS,51.426479,-116.175944,2024-07-01,250930,0.08069,2024-10-16 16:58:41 UTC,P,,,2022-03-31,,,,,TESLA,CA,0.12986,,,,Public,,public,,,,,,,,,,Free,Gratuit,,,,,,,,,,,,,,,,,,False,
